id_annotation_image_id,image_id,category_id,area,bbox,width,height,file_name,coco_url,date_captured,name
1,1,71,943.0,"[491.0, 254.0, 23.0, 41.0]",720,368,67cda248-6d28-4801-9c4e-e4525189ea38.png,https://database.fathomnet.org/static/m3/framegrabs/Ventana/images/3317/01_17_26_19.png,2008-12-19 19:46:56,Sebastolobus
2,2,8,71577.0,"[701.0, 505.0, 241.0, 297.0]",1920,1080,d9b399f3-8628-4138-a339-f4520be751c5.png,https://database.fathomnet.org/static/m3/framegrabs/Ventana/images/4194/20190530T164104Z-60628e6f-6398-4267-9757-288078efec28.png,2019-05-30 16:41:04,Apostichopus leukothele
3,3,67,533148.0,"[458.0, 332.0, 924.0, 577.0]",1920,1080,3289c3e1-40f2-4512-992f-3fa406b50a86.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0617/01_43_19_24.png,2014-06-05 20:04:19,Scotoplanes
4,4,37,299186.0,"[1155.0, 71.0, 659.0, 454.0]",1920,1080,801dc37d-1aac-49ac-9067-93ae4bb7c8b6.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1000/00_49_08_07.png,2017-12-21 15:37:28,Keratoisis
5,4,37,520650.0,"[66.0, 6.0, 975.0, 534.0]",1920,1080,801dc37d-1aac-49ac-9067-93ae4bb7c8b6.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1000/00_49_08_07.png,2017-12-21 15:37:28,Keratoisis
6,5,45,9202.0,"[823.0, 833.0, 86.0, 107.0]",1920,1080,0026b62d-3ebc-4a70-b62e-5767a4e5f8b8.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1376/20210814T162558.344Z--ca59deda-72cb-49c5-a159-98f13741a7b3.png,2021-08-14 16:25:58,Munnopsidae
7,6,68,41475.0,"[1346.0, 460.0, 237.0, 175.0]",1920,1080,f0d3c132-de35-470e-8623-36848711daee.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0673/03_39_51_29.png,2014-10-13 21:53:22,Scotoplanes globosa
8,7,71,5916.0,"[1290.0, 426.0, 87.0, 68.0]",1920,1080,32209bb5-4fea-4379-9484-85c5cdb24e9a.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0976/06_16_31_17.png,2017-08-04 21:04:29,Sebastolobus
9,7,16,8600.0,"[1180.0, 289.0, 100.0, 86.0]",1920,1080,32209bb5-4fea-4379-9484-85c5cdb24e9a.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0976/06_16_31_17.png,2017-08-04 21:04:29,Chionoecetes tanneri
10,7,71,9450.0,"[139.0, 723.0, 135.0, 70.0]",1920,1080,32209bb5-4fea-4379-9484-85c5cdb24e9a.png,https://database.fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0976/06_16_31_17.png,2017-08-04 21:04:29,Sebastolobus
